year,text
2014-04-24, Rooms with bad ventilation. The cushions have a V format, maybe they should need to be changed. But it´s very good located and fair price.
2014-04-18, The hostel was good but it was really expensive considering it was quite old. The booking requirement for minimum of 3 nights even though I stayed only 2 nights was unfair. Hence I had to pay for extra night which made no sense.
2014-04-21, Very good hostel for the price. Clean and I loved the individual beds. Never felt worried for my stuff.\r The only thing it may be improved is to have a door in the showers so people can sleep without being bother with the noise.
2014-04-12, I found the bed comfortable the staffers helpful and it's in a good location.
2014-04-08, Nice place, basic but exactly what you would expect for the price
2014-04-03, Excellent location, nice view from the 4th floor!!
2014-04-16, The location is great. However, the hostel is a bit old. There is no lounge area. I stayed in the female dorm and the shower was a bit crowded in the morning since there were more than 8 of us but just one shower. My bed was not close to any plugs. \r The staff was very kind and friendly.
2014-03-21, We were a group of ten friends and we stayed all together in the female dorm. It is a large room, good beds and really warm enough and clean. The staff was very nice and helpful. The only problem was the shower: it isn't very big and we had some problems with hot-cold water (it was too hot or too cold). We had a really nice time here!
2014-03-14, We stayed in a 10 bed girls doorm. Big room, no bunkbeds. Unfortunately they put two extra girls in there over the weekend so we were 12 girls, sharing only one Bathroom. There's no extra bathrooms in the building, unless you go to the reception area.\r Other than that it was okay, only five minutes from central station and walking distance to pubs etc.\r Would come back.
2014-04-03, I stayed in the female dorm which is quite spacey and the beds are comfortable (you also have a small kitchen with a kettle and a microwave oven here).However, it´s kinda separated from the hostel and lack any atmosphere - no common room, the only time I have seen the staff was during check in and check out. I also have a feeling that the room was not cleaned during my stay (3 nights).We even have to remove sheets from our beds when we were leaving which is something I think the staff should do.
2014-02-07, Few toilets for so many people.\r Not so well located as I thought.
2014-02-06, Your Hostel is very nice, but the shower in room B under the roof doesn't work properly. Someone should take care of this.
2013-12-27, It will be great to organize some (night) activities promoted by the hostel
2013-12-04, I had a great experience staying here, I would definitely choose the same place for my next trip to Amsterdam. It's very cheap and good enough for the value of the money.
2012-08-18, we stayed in 20 mixed dorm first night which was great, the rest two nights we have been moved to female dorms which was just amazing!location-couldn't be better, staff-friendly, helpful, overall: I shall see you very soon!
2014-03-14, This was one of the cheapest hostels in Amsterdam and I was definitely happy to choose it - overall it was a good experience. The room (in the building next door) was spacious and comfortable, there's not a lot of privacy when getting in and out of the shower though (due to shared sink area and outlook into the room) but it seemed to work anyway. Good facilities in room - fridge/freezer, microwave, dishes, lockers etc and towel was included. Helpful staff. Would recommend if on a budget.
2013-11-23, very nice place. great location! nice and helpful staff. hot water and comfortable bed, that is all one need..
2013-11-03, Great hostel, best in this city.
2013-11-15, They where really nice to me they help me a lot with some issues that i had and also hostel is really good located!! You wont find something like that for the price! hope to see you soon!
2013-11-01, 4 flights of stairs up to the room wasn't ideal with a suitcase. The room was so full they put mattresses of the floor for extra guests so there was 12 in and 10 person room. Very hot and stuffy in the room. If u just want some where to sleep it will do but not worth staying there if u want comfort or good atmosphere...
2013-10-28, The hostel is near the central station as well as the red light district and other popular spots. This is the best thing about it. The staff is nice and they have discount cards to some establishments. The only downsides are 1. There's no lift, and we stayed at the topmost floor, so lugging around our stuff was quite tiring. 2. The wifi fluctuated. The signal is not strong in the room; even in the common room it's pretty weak.
2014-05-22, i spent a long weekend in amsterdam by myself and was very satisfied with aivengo! central (=not quiet during night) location & nice staff! i slept in a dorm with 9 other girls on the 3rd or 4th floor next door to the actual hostel. there was one bathroom for us, but it sufficed and was cleaned every day. my bed was comfortable and there were enough sockets for everyone. i received a locker against a 10€ deposit payment (reimbursed upon departure). the stove is not in use due to safety reasons.
2013-10-25, Nice little twinroom at the top floor. \r The stairs are pretty doable (it's 6 floors but it won't kill you UNLESS you travel with lots of luggage).\r Bathroom cleaned, linen ok (you'll get bathtowels for free at private rooms), just don't expect for a high quality mattress! Nice view from the shared kitchen.\r Really great location, safe for solo travelers , and easy to get to. Staff was ok (not the smiliest people in the world), although they'll provide you whatever info you ask and a city map.
2013-10-18, Not a bad place, to stay a night or two. Could replace the blankets with something warmer. The guy at reception was really friendly and helpful.
2013-10-23, Location is excellent... :) But, the stay would have much better if it has a good mattress, a blanket with cover and of course some extra socket plugs. There were just two socket plugs for 20 people and you can imagine how late night you need to stay just to charge your mobile/laptop. :(
2013-09-27, The hostel is very well located, the staff is friendly and helpfull.\r The only inconvenient is that there is no elevator and the are too many floor with rooms. I had to go up to the 5th floor with may baggage and it wasn't easy.
2014-02-21, Location: the hostel is 5 minutes walking from the central station + you can reach all main attractions by walking. \r Staff: The girl at check-in was kind and nice. But the guy at check out was very rude + we couldn't leave our luggage as promised\r We booked a 4-beds room with private bathroom, that was not in the same building (but very close to it though)\r The room was very basic furnished (2 bunk beds, a dirty sofa) at ground floor, no windows, and a tiny washbasin.
2013-09-18, was very nice...
2013-10-20, This is my favorite hostel. Wifi is fast (versus non-existent you would find elsewhere), it's a short walk from train station, the main sales point for me was the quality of people are far superior than what you will find elsewhere irregardless of price in this town.
2013-09-14, very average hostel but for a reasonable price. need to bring a blanket as what they provide is a very thin fleece blanket that isn't long enough to cover taller person's feet. Good location and cheap so was happy with the hostel and would go back.
2008-08-02, in the rooms there wasn't 6 beds but 8!!!one of this was on the floor and it was too dirty!!
2013-08-30, Literally just a bed/shower and toilet in the city (no kitchen, no common room) very disappointing. That said however very clean nice big rooms (although lack of power points in the place). There is also a curfew which would have been nice to know so don't have many late nights. good location but there are better hostels out there.
2013-10-04, A pretty basic hostel, an inexpensive no frills place to sleep in a good location. Easy to get to from the main train station, and then easy to get from here to all of the action. Absolutely no common room to meet people, and the people in the dorms don't seem like they're there to meet fellow travelers. If you're already with a group of friends and don't need to meet people, its a pretty good option considering its affordability and quality of cleanliness/facilities.
2013-09-19, Easily the worst hostel I have stayed at in 4 months of European travel. It is rather cheap for Amsterdam, but the 20 bed dorm legitimately looked like hospital ward, there was no kitchen and no common area whatsoever. Staff also allowed 2 guys in who grabbed a group of peoples phones that were on charge and then stole them. The only place to hang out was in the hospital dorm or hallway. Extremely disappointing, kinda ruined my time in Amsterdam.
2013-07-30, we had the double room - private bathroom and it was amazing. this made us forget the fact that the room was not ready at 12am.
2013-08-13, Overall it's an okay place, the staff are kind and they maintain it well. Showers are warm, lots of washrooms. \r \r I felt the lack of a kitchen was a big drawback (there is only a microwave and a bar fridge) and also a lack of common space - there aren't really any good areas to just hang out with people. Also sleeping in a 20 bed dorm is quite the experience - bring your earplugs! And they don't have anywhere to store luggage.\r \r In the end, location is fantastic though, and price is right.
2013-06-30, I really enjoyed my staying in Aivengo hostel. It almost became my home for this 2 weeks) When I return to Amsterdam, I would like to stay there again.
2013-07-05, i do not recommend booking this hostel.\r 1. they wrote,their free wifi will work in all their rooms - no, it didn´t work!\r 2. there is no privacy. no door in the bathroom,so that all the rest 9 girls in your room watch you drying yourself with a towel,or you must do it in a 1x1m shower cabin, cleaning the walls with your towel. \r 3. the staircase up is horrible especially if you have a suitcase.\r 4. a man-worker was walking through our room every day 2 times without nocking.\r 5.not 35e worth!
2013-06-17, A very friendly crew...plus the location is perfect near by Ams central/main station
2013-07-11, The staff is very unfriendly, you have to pay for towels,housekeeping was poor, the bathrooms are tiny and if you´re cold at the night you can´t ask for another extra blanket because the manager doesn´t feel like doing it. If you only want to stay a few days in the city it´s ok but if you´re thinking to stay more than three days isn´t worth it.
2013-06-11, The lockers in the room are unsafe, two of my room mates lost cash and one room mate lost her credit card on the first day I arrive. Too many people able to access the rooms, other than the ten ladies staying in it. No sense of security.
2013-05-31, Toilet seats with lids would be nice, a staff member could have been friendlier, some warmer blankets could have helped. Lacked atmosphere.
2013-06-06, Only complaint is bathroom: 1 bathroom, 12 bed female dorm is shocking. Needs separate shower area from sink/toilet so more than one person can use at one time. Shower was also EXTREMELY dirty. Soap/dirt build up around bottom of tub made me cringe. Guy came every morning to change the garbage & barely mop down the floor (basically soak up water), why couldn't he wash the tub? Took 3 days to replace handsoap. Had to ask for top bed sheet (not provided). Decent price, good location, nice staff!
2013-06-20, The place was located in a good place, about 5-10 mins walk to AMS central station and 15-20 minutes away from the red light district and 30 mins walk to Vondelpark, 15 mins to Westergasterras. I liked the place however the lobby was really small....was hoping to interact with other backpackers but was cooped in the room instead. My bed was great, all beds were individuals, no bunk beds. There's a cute balcony (really french doors) and you can look out on Spuistraat. Thanks for the great time.
2013-05-17, The Hostel was a real nightmare. We spent 3 nights in a 10-Femal-Dorm. Nevertheless there have been 11 beds in the room and just one bathroom. The sheets were dirty and the beds were old, squeaky and uncomfortable. The whole place was dirty (especially the bathroom) and the staff seemed to be drunk and confused. Only the location was excellent. It's located right in the middle of Amsterdam, only 5 min away from the train station. But still I would never recommend this hostel to anyone.
2013-05-16, I dont how how its possible to this place be acceptable as a ''youth hostel''.. The place is not cleaned enough.Toilets are a bit old. .Also there is no toilet seats in the toilet.yes!. The mattress is thin than a paper so I was on the top of a bunk bed and the bed bar hit my back, thats ridiculous. you wont be able to sleep in this hostel. there are no facilities at all.. thumbs up for the location though
2013-05-07, Only one bathroom ( wc inside!!) for a "10 beds" room.\r We were not sure that they clean the bathroom and room every day. \r the staff was just 'correct'.
2013-05-18, Well the staff is no te very nice, they just don't care, the rooms are good but they need to have lights for each bed not one for the entire room, the wc is unbelievable small !! and they need calefaction or better mantles. I will think twice before returning. however it is a good value for money.
2013-04-27, Had an awesome time here. Staff were great. Beds were fine. Good social vibe.
2013-04-26, great staff, fantastic location, highly recommended!!
2013-08-12, I thought this place was great! It was much more then what i expected for my money, clean, good, helpful staff and we were lucky that we were with nice people, even if we had our own double room :) Location right next to train station, 7 min walk from food plaza, bars everywhere. Perhaps a lot of stairs, but heck, it is Amsterdam :) A lot of gay bars all down the street, but not sure if that was because of Pride some time before :P I loved the place, and will definately come back there again :D
2013-04-09, COLD... SO COLD.... FREEZING!!!!
2013-05-01, The hostel wasn't clean, WC were dirty and smelly, beds aren´t good but the location was really good.
2013-03-28, There wasnt heating in the hostel, so sleeping was hard. kitchen facilities were poor rather there wasnt any kitchen in the family accomodation part of the hostel.
2013-04-16, Loved this hostel. Would stay again no problem. We stayed in a private double room with private en suite. Very clean, staff were friendly and helpful. Only problem was that ours was on the very top floor and the stairs are small and very windy! But it wasn't too bad. There is also a gorge common room with a little balcony. Don't leave stuff in the fridge though cause people will take it! Thanks again :) Cat.
2013-03-16, A very plain hostel, cheap and close to the city. You get what you pay for so its a fair deal. Luxury seekers definitely shouldnt go there. Who just needs a convenient place to stay will be fine.
2013-03-27, the true problem of this hostel is the space because there too many beds in small rooms and the bathroom is a bit ridicolous, the best thing is the location
2013-03-28, Excellent location, and if you literally just need a bed and internet then this is your place. But it has no common areas and if you stay in the mixed room downstairs the WC and showers are in front of receiption with no doors so is very weird and uncomfortable. Staff was very nice to me and location couldn't be bettter.
2013-03-11, We stayed at the attic at the 6th floor, it was huge! My husband loved it but I hated climbing up and down 6 storeys...love it that they had a kettle to boil water..lighting was pretty dim..I think those that came with bigger groups of friends would love the attic, there were two sofas in the room..heater wasn't really strong and we felt cold most of the time..it's pretty good considering the amt we paid
2012-07-31, For this price to stay in excellent location, i have no complain!! \r \r I definite like the rooms contains :\r 1. every bed is a single desk bed \r 2. we have a lot of comman space\r 3. Boconly\r 4. Boiling water machine\r 5. Mircowaves\r 3.
2013-05-14, Aivengo Hostel is in a great location, close to the train station and within walking distance of all major sites. The staff when we arrived was very helpful and friendly providing us with a map and showing us where to go! We stayed in a 20 bed dorm which had uncomfortable beds and was really loud and the door to the dorm room didn't always lock. The bathrooms were small and not very clean with no toilet seats. Hostel was a fine place to stay for 14€ but we probably wouldn't return.
2013-03-14, Staff were friendly/helpful. Location was good. 4 bed private room was large with high ceilings so was very cold- weather was freezing outside. There were only thin wierd smelling blankets and pillows provided with hair on them! We were too scared to leave anything valuable there as the locker was broken and the front door had clearly previously been broken into- lots of paint and wood chipped under a new lock. The mattress' were broken, lumpy and uncomfortable and bunkbeds were broken.
2013-03-09, This is quite simply the least inviting place I have ever stayed in, including three of Amsterdam's other budget hostels. That is to say I had low expectations but was still let down.\r \r Nowhere to relax (two 2-seat couches for 40 guests?), shocking security arrangements, lights too bright in the room, cramped and all-too-visible washing and toilet facilities, hot water only available from the shower.\r \r The staff's local knowledge was non-existent too., though they were friendly enough.
2013-02-28, Great location, friendly staff, clean, handy lockers in bedroom, good value for money.
2013-02-24, Kitchen should be bigger
2013-03-06, Amazing big double room not very expencive, 5 minutes fron the train station and from downtown, really nice and comfortable. The only thing is that you get to excercise a bit, as it is(at least our private double room) at the 6th floor without elevator :) Definetely reccomended
2013-02-08, After a first night which was very cold (the heater didn't work), we complained and the gave us an electrical heater. The second night was much nicer !
2013-03-08, The hostel is overpriced for the quality of the facilities, the kitchen consist in a microwave, a couple of cups, kettle, and a table and it is located right in the bathroom. Besides the beds are in bad condition even the mattresses. But on the other hand is very well located right in the city center, near from the train station and supermarkets.
2013-01-25, Super friendly staff, very helpful. Perfect location, only a 5 min walk from Central Station and then only 5 mins from hostel to Dam Square.
2013-01-22, I spent a great time in aviengo hostel. Thanks for you welcome, I'm going to work my english :) and, I return see you soon ..
2013-01-10, if you're looking for a cheap bed for a few nights, this is it.
2013-02-15, We had our own sleeping bags and it was great idea because in the hostel there are only thin blankets and it moght be cold during winter nights (it's definitely not a problem but should be mentioned somewhere for people who are always cold). During weekend I think noone cleaned our bathroom and it wasn't in a perfect shape, there was no toilet paper.\r But the location is soi great that any other things are not so importatn.. ;)
2012-11-30, Kitchen could not be used.
2013-02-03, We had a comfortable 2nights stay with hostel aivengo. We bookedthe 2 single beds in the attic. The room was clean & the same with the shower. The only thing i could suggest is maybe a curtain for those bright mornings, brighter lights for the bedroom &bathroom.; At the time only lamp worked in bed area. Must mention the stairs will be difficult for unfit ppl. We really appreciated the help the guy at the front desk gave us, he walked us to our train! thankyou so much it meant alot =)
2012-11-16, Totally recommend this hostel. Very central and located on a quiet street. Staff very helpful. Had a room on the fourth floor which was really spacious and warm. There was also a kitchenette which was handy. The bathroom was clean and the shower was powerful and hot. Good lockers and luggage storage facilities - all included. I would definitely stay here again.
2013-03-06, If your looking for the basic package its ok nothing special you get a bed and a locker but the location of the toilets left a lot to be desired, right next to the kitchen area ( a ledge a few plates and a kettle) but then again it's Amsterdam so I suppose u don't have to use it.
2012-11-13, The room is roomy and pleasant. The location is excellent, however should improving the reception and appearance of the stairs and lobby.
2012-11-12, It is only a pity. that the heating system was out of order. The rest was great and really thank you for giving us that room as we felt as we were the owner.
2012-12-14, What´s important to know about this hostel and unfortunately not on the website: BRING A SLEEPING BAG!! There are sheets on the mattress but none for the blanket, and those are not being washed after using. \r The location is perfect and the staff is very nice and helpful. However, there are only 2 rooms with 20 beds each and 1 bathroom area, no common room or kitchen where you could hang out or eat something. If you´re just there for going out and sleep, that´s totally fine.
2012-11-04, At night it was very very cold.I had to sleep with my clothes and a jacket on.\r However located in a great location, WiFi working great all the time and the stuff was mire than helpful.
2012-11-01, The pictures from the site are not the real deal. The hostel is not that pretty.\r The common area is too small to hang out and they do not organize any tours or activities so it is hard to meet people. If you go alone, you will probable stay alone. People only hang out in the rooms.\r The location is perfect, though. And they are clean enough.
2012-10-24, Location is great the staff are ok.\r I would recommend it but not highly.
2012-11-05, Its a sleeping hostel, its not expensive, but its not much, all though i can say the wifi works in the room downstairs, theres no common room. Ad no kitchen, no table to read in room an only 1 plug. Lucky for the people who were staying there at that moment. There was a English girl, with a plug multiplyer. The matras is nothing and in winter time in Holland i really advise to bring a sleepingbag because the blanket provided is thinner as u skin.
2012-07-20, well located (5 min away from Centraal Station).Good enough if you just need a bed in a dorm for a very short stay.
2012-10-24, - Not really a kitchen, just some stuff in the corner of the bathroom. Bathroom is a open area direct next to the reception desk, with tiny facilities. \r - noisy and shaky bunk beds, no real pillows and blankets, therefore too cold to sleep comfortably \r - no common room\r \r Overall no comfort for few money. \r \r But free internet and nice location, next to train station and shopping streets.
2012-10-21, A great hostel to stay in :) staff were extremely helpful!!
2012-10-23, The location is really good, very close to the train station, and it's on the big road, so very convenient.\r But it's too noisy at night. You can hear people speak loudly on the road and the street noise at midnight.\r It have the heatings in the room but they just give you a thin blanket, it's a little cold at night.\r No breakfast.
2012-10-22, The rooms were very nice and I thought that everything was kept pretty clean. The only complaint I would have is that the beds were really creaky and loud and we ran out of toilet paper and there wasn't any extra stored in the room. But it wasn't a big deal. I felt safe the whole time and felt that my belongings were safe too. I really appreciated the free internet! Overall, I think it was a great experience.
2012-10-20, Only a 10-15 min walk from the train station. 15 min walk to the red light, close to all your restaurants and night life, I was here during ADE so plenty going on and wasnt far from many of the clubs. A great place to store my stuff and crash although my particular bed was a shocker, made a noise to any movement.
2012-10-08, its beautiful room with a good view we have, and a little balcony with windows, unfortunately there's no kitchen. probably because thats a very old building, so they're afraid of getting fire. we got a private double bed ensuite, so its more like a hotel room than a hostel. its great, the room is very huge!! but the problem is, its on 6th floor and there's no elevator, its trully an exercise. but it doesnt matter for us. we are very happy of stayed there.
2012-10-19, Terrible. Each morning the guy working at the hostel would walk in, turn the lights on an hour before check out, and play techno music loudly from the reception, which is right next to the dorms. The bed consisted of a thin foam mattress, which meant you didn't sleep at all properly. The blankets provided where thin, and no where near warm enough for end of October. There are only two plugs in the dorm for 20 people, meaning you won't get a chance to charge phones/ipods.
2012-10-07, Hostel was good for its price, I was in a 20 room dorm with a couple friends. The beds are clean and comfortable, good toilets and showers. Only thing that needed work was the kitchen that was small and pretty much in the toilet area. Only a microwave and small fridge for 30+ people to use. The communal area was small and in front of the reception so it was hard to socialise outside of your rooms.\r \r All in all it was good for its worth and got what you needed the most. I would go again.
2012-09-27, Nice little hostel with rooms in different buildings...
2012-10-04, We booked this hostel because it was one of the only hostels with vacancy. It was fairly cheap, and cheap is what we got. The beds were barren, and somewhat dirty. Fortunately I had a sleeping bag with me as the sheet provided wouldn't have been of any use. The staff was not very helpful, and even when advised of basic issues (e.g. no toilet paper in the bathroom) the issues remained unfixed.\r If you are on a tight budget, this place is cheap. But the price is about all you get.
2012-09-26, Really, really liked it.
2012-09-29, stayed in the 6th Floor 2 single bed private room where we had access to a living space, kitchen, and rooftop balcony. Is this really a hostel?\r \r The staff were very cool and miss victoria explained everything very clearly. They even provided a map of the city which would cost you around 3 euros from tourist information.
2012-09-26, Everything was fine, wouldn't hesitate to come back. Close to the Centraal train station and downtown.
2012-09-06, Great staff and hostel!
2012-09-16, Staff was great! One man with bit longer hair was nice all the time! He help us with everything! Great really!!!
2012-09-18, Great friendly hostel.\r \r Only small detail: the blankets are too thin, duvets might be better (especially in the autumn)!
2012-08-24, The only think I find annoying were staires cause with luggage to drag it up and down was quite difficult. But the female dorm was nice, clean enaugh. Be aware that it's better to bring you own balnket since they give you just plaid without any blanket. Although 1 bathroom for 10-12 girls is rather too bad I didn't experience many problems with it since all girls had different time schedule.
2011-10-18, There was a mouse in the room that ate the food who were in bags that guests left the ground at night. And every day we had to wake up at 9 o'clock, because the woman cleaner opened the room, opened the windows and began to clean up even when you're sleeping. A great lack of respect!
2012-08-24, We booked a room for 4 people in a private dorm. We were pleased to notice the cleanliness and the size of the room.\r The only problem in this room is that Amsterdam is quite cold the whole year and the blanket provided were really thin and old. We would have hoped to get some real bed sheets with real blankets. It was hard on all of us.
2012-08-11, The people who work there make that place amazing!\r also the art of the hostel is amazing.
2012-08-22, This hostel was cheap and no fuss. The staff were friendly and the location of the hostel is excellent, only five minutes walk from Centraal Train Station. I wouldn't stay here if you are staying in Amsterdam for more than four days - there are very few powerpoints and the rooms are huge with loads of beds, so not much privacy. But there are a couple of computers with free internet, and you're only a few minutes walk from everything.
2012-08-09, The hostel is well located but the staff is not friendly (there is an exception). The room is disorganized and they don't have pillows, they offer something like a small pad to sleep. They don't have a kitchen but just a microwave but they don't offer plates or cutlery. It means you can't prepare anything to eat there. There is no a table to eat or to use your own computer as well.
2012-08-05, Very minimal and small but cheap and in a good location.
2012-08-05, Excellent location in central Amsterdam. Too many stairs and noisy guests, but if you just want to sleep there it's very good!
2012-11-14, Not really a great place to stay to be honest, I felt like staying in on of those places that gives charity to homeless people. The room is just horrible, you can hear everything from the outside, even the steps from people walking on the sidewalk, no heat at all, the blanket was so thing that I had to sleep with my sweater because it gets so cold at night and also they don't even bother on changing the bed sheets, and they open leave the door open in the morning,even if you are still sleeping.
2012-07-17, My dorm was in the adjacent building, on the fourth floor with no elevator. But the room was airy and bright, with an ensuite bathroom and a kitchenette (fridge and sink, no stove). Each guest gets a locker for free (10 euro deposit).
2012-06-28, The dorm for women seemed A LOT nicer than the onw for men
2012-06-30, This hostel was very clean and the location was perfect - really close to everything. We enjoyed our stay here. Definitely not a party type hostel which isn't necessarily a bad thing it just depends what you are after.
2012-07-24, This place is in a great location, the showers are small but pump out hot water, wifi is strong, the staff are helpful and the place is nicely decorated. Most guests found it strange to have the reception right there next to the toilets showers and wash basins. I didnt mind too much especially when your towel drops while your brushing your teeth and 4 danish girls are checking in next to you. They need thicker beds,pillows and checkout should be 11am. These simple things might improve ya rating!
2012-06-24, the hostel was OK, but way too expensive for the facilities provided.the hostel was cold, dirty and the code for the door could have been broken by a monkey. Iv been to Amsterdam many times and all the budget accommadation in the city center is bad and very pricey, I ask why?
2012-06-04, It was great but kitchen should be little big n separate from \r washroom area. I give 8/10
2012-06-18, I had a great stay at Aivengo. Really nice staff and the all-female dorm was great. The mixed dorms on the ground floor looked really hectic, so I wouldn't stay there if I were travelling with a mixed group, but I would definitely stay there again in the female dorm.
2012-06-03, You pay for what you get, It was a cheap option that I was pretty happy with really. Would stay here again.
2012-06-14, Handy and a bit more quiet location nevertheless in the center. We stayed in a big dorm located in a building next door, a large, nice, and light room with its own kitchen and bathroom and semi-balcony. The only thing that was not so satisfying were the iron beds keeping a lot of noise, can they be lubricated or something? ;) Otherwise totally recommended!
2012-06-10, it is not possible to get a nights sleep here as lights are always on in the dorm room nd no one will keep theire voice down even late at night. so if you come to party and need a place to crash this may be it.\r if you come to do stuff during the day this is not recommended. also the bed I slept in was very poor, I´ve slept on benches that was better.
2012-05-08, the toilet is too small, only blanket for cover is not enough, better to have plug in the room
2012-06-02, The hostel was clean and well-managed and the staff were very friendly and extremely helpful. They offered suggestions on where to go, including how to stay safe because we were two females travelling alone. Any concerns we had were dealt with quickly and efficiently. A bag was left behind on our last day and the staff went out of their way to have it returned. I had a fantastic stay and would definitely go back to Aivengo if I am ever in Amsterdam again. I recommend staying here!!
2012-05-04, We had a fabulous time at the Aivengo. We were travelling in a group of 9 and felt like we had our own private flat. The staff were nice and helpful and the location was excellent. The only downfall we had was that the hot water ran out after around the 6th persons shower, make sure you get in first! We had a fun filled weekend!
2014-04-06, Wonderful location (practically in the center). Safe area. Would stay again. Only warning is be ready to be fighting to keep your phone with battery since there are only four electrical outlets for 20 people.
2012-03-24, I agree with everyone that the blanket was too thin. I slept under my jacket as well to keep warm. Otherwise an acceptable centrally located hostel at a good price. I thought the security on the female dorms was good, and the staff were friendly. I wish the sinks and the shower were not in the same room, because brushing your teeth in the morning could take a while. The internet was free, which was great, but tended to be unreliable, particularly during peak periods. I'd stay again. Good price.
2012-05-25, We booked for 3 people in a 10 person room. The room was overbooked, so we were always 11-12 people, and there was ONLY ONE bathroom for all of us (which also contained the shower, so for one you waited forever) . To top it off the bathroom made the room noisy constantly.\r \r The last night I had a matress instead of a bed, so I was provided with a 'matress' that was maybe 5 cm thick, and a pillow that was smaller than my wallet. It would have been the same if I slept on the floor.
2012-03-18, The hostel is quite easy to find n is a convient location as it is near the Amsterdam central station. Besides the hostel doesn't have elevator n I have to go to 5/F every day, everything is pretty good.
2012-03-09, wow! For a hostel a this price I have to admit I was scared and sceptical! People who are used to sleepe in hostel will understand ;)! very good stay, we were able to let our luggage at the reception the last day. Everything if very well furnished and very clean and guess what!: quiet by night in the middle Amsterdam! The people sleeping here are here to sleep and not continuing their night! highly recommended!
2012-02-27, Bring your own sheets. The female only dorm is good. The mixed dorm not that attractive...
2012-04-21, We stayed in the female room on the 4th floor. The room and the facilities were pretty much OK except for several things.\r If you need wifi you better stay on the first or second floor, because the signal doesn't reach the upper floors. Be aware that there are mice on the premises - a lot of them :) They come out only in the night and if you leave any food outside the kitchen cabinets, fridge or inside your bag you'll not be able to sleep. Do not leave your bags open in the night! :)
2012-02-22, Uncomfortable bed in a cold room with only a very thin blanket. Don't expect a good nights sleep here. Free WiFi is good though, as is the location.
2012-02-16, The staff was helpful, the girl's dorm was clean, the bed was a bit squeaky and the blanket a bit too thin. The location is good. Good value for the price.
2012-03-08, No bed sheet and a too light blanket. The first night the heater was broken. Terrible smell of vomit for 3 days. The place was almost clean but the smell was unacceptable. No common areas. The 'kitchen' is in the bathroom and the bathroom is in the atrium divided by a curtain. The position of the hostel is excellent however it offers a really poor service. It compleatly miss the hostel atmosphere: a place to meet people.
2012-02-10, too Cold, very bad condition. need some renewal. investing some € is a must!\r Stuff was Okay, location is close to the main station.
2012-02-10, Cute inexpensive hostel within 5min walking distance of Amsterdam central station. Very charming. The dorm we stayed in was equipped with fridges, a microwave and an electric kettle - very practical! Only the beds were slightly uncomfortable, but we were so tired at the end of the day that we slept anyway. ^^
2012-01-05, The place was not well illuminated, and the beds were not comfortable. IT DID NOT HAVE SOCKETS TO CHARGE THE BATTERIES OF COMPUTERS AND CAMERAS...WE ARE TRAVELING, SO WE NEED ELECTRICITY FOR OUR EQUIPMENTS!!! The rooms were not well warmed, and there are not places to eat.
2011-12-08, should be more selfserved dishes or cooking instuments
2011-12-02, It was nice and pleasant stay. Good considering the budget.
2011-12-27, Everything was very good except for the beds which were noisy and unconfortable\r I will sure recommend this place
2011-12-01, Good Hostel, great location. It is negative that this hostel has no space for kitchen and living room. And it was really annoying that they were opening the door every morning at 9 o clock and the cold was passing inside the room. They must respect their clients
2011-11-28, Great location! Everything you would expect for the price.
2011-11-25, Nasty place but in a very good location...DON'T GO TO THIS PLACE!
2011-11-20, The location is amazing, and I felt very safe in the neighborhood by myself even at night. I stayed in the female dorm which I would definitely recommend to other females. Its a cool loft setup with our own bathroom and kitchen. The mixed rooms were right off reception along with the bathrooms and seemed like they lacked any privacy. There was also no common room so its difficult to meet people outside of your dorm. Ultimately though I enjoyed my stay and would stay here again!
2011-11-19, the room was great, the lobby was a bit smelly. overall very recommendable!
2011-11-16, rooms are very nice with lock provided. there is no elevator, so that it had been quite difficult to take the luggage upstairs...
2011-12-01, Shared rooms: people who think that beds are for sleeping, BEWARE! My roommates decided that since outside was cold, drinking alcohol in public places is prohibited and the pubs are expensive, they had the same right to start party in the bedroom after midnight as other people had to try to sleep in their beds. So don´t you think that you will find a quiet place just because it is not in the pub area.
2011-11-04, No complaints at all.\r Would I stay again? Yes.\r Would I recomment to friends? Yes
2011-11-01, Extremely helpful and friendly staff :) Thank you!
2011-10-22, Amazing location... super clean, open loft dorms. Beds aren't the most comfortable, but all the same its a great hostel.
2012-03-22, This was a big let down from the description...needs some love...twin room was a mess....not clean enough....foul smell from the sink in the en suite...squeaky beds...the blind door to the toilet was broken an pointless even being there...bed covers are far too thin so we were cold at night apart from all that the location was good but just somewhere to sleep really.
2013-09-01, staff is very friendly ..and the location is perfect
2011-11-12, Loved the staff esp. the Czech republic guy so really friendly, takes initiative carried my suitcase and just such a pleasant smile. I stayed in the 13 bed female dorms with ensuite bathroom/ kitchen on 4th floor. I agree with another guest, mattresses are so tiny you can feel every bar of the bed. Blankets and pillows are thin what a joke. Although some ppl may say this was a bad thing, for me it was great as I love happy places but 6 girls couldn't stop laughing for hours and hours, you wonder
2011-09-23, Very small towel in the private room! Ask to the guests to take one with them. Exept for this great room almost at the roof top and great location.\r I hope to join you again.
